[Channel Name];[Slot Number];[Channel Number];[I/O type];[I/O Data Length(bits)];[Comment]
DistanceX;1;0;Input;0xC;M-3802, A3, 8AI
DistanceY;1;1;Input;0xC;
DistanceZ;1;2;Input;0xC;
VerticalActuatorCurrent;1;3;Input;0xC;
HorizontalActuatorCurrent;1;4;Input;0xC;
PowerfoldCurrent;1;5;Input;0xC;
HeatingFoilCurrent;1;6;Input;0xC;
DirectionLightCurrent;1;7;Input;0xC;

PowerSupplyVoltage1;2;3;Input;0xC;M-3810, A4, 8AI
PowerSupplyVoltage2;2;4;Input;0xC;

IsDistanceSensorUp;3;0;Input;0x1;M-1800, A5, 8DI
IsDistanceSensorDown;3;1;Input;0x1;
IsSuckerUp;3;2;Input;0x1;
IsSuckerDown;3;3;Input;0x1;;
IsVacuum;3;4;Input;0x1;;
IsLeftRubberPresent;3;5;Input;0x1;;

IsPowerfoldDown;4;0;Input;0x1;Je sklopen˝;M-1600, A6, 16DI
IsPowerfoldUp;4;1;Input;0x1;Je vystret˝;
IsOldPowerfoldUp;4;2;Input;0x1;Je vystret˝;
IsRightRubberPresent;4;3;Input;0x1;;
IsLeftMirror;4;4;Input;0x1;;
IsOldMirror;4;5;Input;0x1;;
IsOldPowerfoldDown;4;6;Input;0x1;Je sklopen˝;
IsStartPressed;4;7;Input;0x1;;
IsAckPressed;4;8;Input;0x1;;

IsLocked;4;10;Input;0x1;NovÈ zrkadlo je uchytenÈ;
IsOldLocked;4;11;Input;0x1;StarÈ zrkadlo je uchytenÈ;

InsCheck1;5;0;Input;0x1;M-1601, A7, 16DI
InsCheck2;5;1;Input;0x1;
InsCheck3;5;2;Input;0x1;
InsCheck4;5;3;Input;0x1;
InsCheck5;5;4;Input;0x1;
InsCheck6;5;5;Input;0x1;
InsCheck7;5;6;Input;0x1;
InsCheck8;5;7;Input;0x1;
IsPowerSupplyOff;5;15;Input;0x1;


AllowMirrorMovement;6;0;Output;0x1;M-2801, A8, 8DO
MoveMirrorVertical;6;1;Output;0x1;
MoveMirrorHorizontal;6;2;Output;0x1;
MoveMirrorReverse;6;3;Output;0x1;
FoldPowerfold;6;4;Output;0x1;Vystrieù
UnfoldPowerfold;6;5;Output;0x1;Sklopiù
HeatingFoilOn;6;6;Output;0x1;
DirectionLightOn;6;7;Output;0x1;

LockWeak;7;0;Output;0x1;M-2801, A9, 8DO
UnlockWeak;7;1;Output;0x1;
MoveDistanceSensorUp;7;2;Output;0x1;
MoveDistanceSensorDown;7;3;Output;0x1;
MoveSuckerUp;7;4;Output;0x1;
MoveSuckerDown;7;5;Output;0x1;
SuckOn;7;6;Output;0x1;
BlowOn;7;7;Output;0x1;

AllowPowerSupply;8;0;Output;0x1;M-2801, A10, 8DO
LockStrong;8;1;Output;0x1;
UnlockStrong;8;2;Output;0x1
GreenLightOn;8;5;Output;0x1
RedLightOn;8;6;Output;0x1
BuzzerOn;8;7;Output;0x1
